User_Name,Stars_Rating,Review_Title,Review_Date,Review_Content
André,3.0 out of 5 stars,Nur für echte Schnellschützen,Reviewed in Germany on 6 March 2021,"Spaß verlängern? Dann seid ihr hier falsch, dies ist nur ein Produkt um Männern mit medizinischen Problemen zu helfen. Der einzuführende Gegenstand wird derart betäubt dass eigentlich gar nichts mehr gemerkt wird. Selbst mit abwaschen brauchte es danach noch 4 normale Gummis inkl abrutschen durch erschlaffen bis wir fertig waren. In Verbindung mit Viagra sicher toll, als Normalnutzer fühlt man sich wie mit Potenzproblemen. Vielleicht ist einfach nur zu viel von dem Zeug drinne."
Ophelia Knies,4.0 out of 5 stars,Gut,Reviewed in Germany on 5 October 2019,"Die Kondome halten was sie versprechen, fühlen sich ganz gut an und sind einfach in der Handhabung. Mein Partner und ich sind zufrieden."
Li-La-Launebär,4.0 out of 5 stars,Betäubt tatsächlich,Reviewed in Germany on 13 April 2019,"Auch wenn es etwas ungewöhnlich ist und wir vorher etwas skeptisch wären, haben sie doch ein gutes Gefühl beim und nach dem Sex hinterlassen.Vorne ist an der Spitze etwas Gel eingearbeitet, das wäre war erst wie ein harter Brocken aussah, aber dann doch weich und angenehm war.Das Gel betäubt die Eichel tatsächlich, aber erst nach etwa 10 Minuten. Ist also etwas für Leute die sich generell etwas mehr Zeit nehmen. Für uns beide war das Gefühl angenehm und Wirkung war da. Wir geben daher gerne 4 Sterne , 5 wären es bei schnellerer Wirkung geworden."
De Pälzer,4.0 out of 5 stars,Gutes Verhütungsmittel,Reviewed in Germany on 28 April 2019,"Aber ob das benzocainhaltige Gel jetzt tatsächlich dafür sorgt, dass Mann länger kann lässt sich nicht pauschal mit Ja oder Nein beantworten.Was beim einen funktioniert muss noch lange nicht bei jedem klappen.Jedenfalls riechen die Kondome nicht allzu unangenehm nach Gummi und die Verpackung lässt sich schnell und einfach öffnen.Außerdem klingt Performa für mich nicht unbedingt nach Spaß an der Sache sondern eher nach Leistungsdruck. Penetration ist halt doch nicht alles ..."
Lutz Zander,4.0 out of 5 stars,Ok,Reviewed in Germany on 5 June 2019,"ist wie eine zweite Haut, sehr dehnbar ohne dass man das Gefühl hat dass sie abrutschen, Ausdauer wird verlängert.Der Geruch ist wie bei den anderen. Aber wichtig ist, das es hält und das hat es."
Abhishek adhikari,2.0 out of 5 stars,Doesnt perform so well,Reviewed in Germany on 5 December 2021,This condom doesnt perform well.
Arvydas,5.0 out of 5 stars,Zuverlässig,Reviewed in Germany on 21 November 2020,"Durex war lange Zeit die Marke meiner Wahl. Sie sind für mich nie kaputtgegangen und sie fühlen sich so gut an, wie sie können, während sie immer noch einen Candom tragen. Der einzige Nachteil ist, dass sie auf der teureren Seite stehen, selbst mit Rabatten."
Katharina,1.0 out of 5 stars,Warum steht das mit der Verlängerung nicht in Großbuchstaben auf der Packung?,Reviewed in Germany on 18 April 2022,"Wisst ihr wie gefährlich das ist? Mein Freund kann mit den Dingern stundenlang. Irgendwann werde ich trocken und dann reißen die Dinger. Vermutlich kommen daher die Kommentare mit den Löchern. Wer also nicht die ganze Nacht genagelt werden will, kauft andere Kondome"
OkCiaoNiau,3.0 out of 5 stars,Eine Frage der Gesundheit?,Reviewed in Germany on 17 March 2019,"wie ist es immer so schön: ""Alles in Maßen"". Der Wirkstoff ""Benzocain"" unterbricht die Schmerzweiterleitung, wird oft in Halstabletten zur lokalen Betäubung der Schleimhäute benutzt. Es kommt immer darauf an, wie hoch die Dosierung ist. Ein Gel mit 5% ist nicht sonderlich viel, die Eichel des Mannes aber bekanntlich sehr empfindlich. Ich hätte es nicht gedacht, aber es ""hilft"" tatsächlich, zögert also den Orgasmus des Mannes hinaus, ohne dass die Stehkraft dabei Schaden nimmt. Oft würde ich das sicher aber trotzdem nicht machen, die Langzeitfolgen kann ich nicht einschätzen. Der Wirkstoff steht auf der gelben Liste, dort wird alles näher erklärt. Ansonsten sind die Kondome von DUREX von gewohn guter Qualität, preislich auch im normalen Rahmen. Empfehlen kann ich es sicher den Männern, die oft zu schnell zum Höhepunkt kommen, dies aber nicht wollen. Aber: Will es denn die Frau? ;-)"
Diana Evangeline Liedtke,5.0 out of 5 stars,Hält was es verspricht,Reviewed in Germany on 19 August 2019,"Wir haben uns entschlossen einmal diese Kondome zu testen, da wir neugierig waren ob es wirklich funktioniert, dass Mann damit länger kann.Vorab: Ja (zumindest meiner).Die Kondome sind gut verpackt und kamen gewohnt schnell an. Die Passform bei meinem Mann ist gut und er hat nichts zu meckern.Von meiner Seite aus muss ich sagen sind sie relativ Gefühlsecht (für Kondome).Machen was sie sollen. Qualitativ gut.. nichts abgerutscht oder gerissen.Nun zur Hauptfunktion dieser speziellen Sorte:Es funktionier und mein Mann kann damit ca. 5-10 Minuten länger durchhalten. Was wir sehr positiv finden.Hier muss man aber sagen dass dieses nur unser Ergebnis war. Bei anderen kann es natürlich anders sein. Wir sind jedenfalls zufrieden und können sie weiterempfehlen :)"
sam,5.0 out of 5 stars,"perfect ONLY if you are struggling with timing, otherwise it’s just a normal condom",Reviewed in Germany on 20 April 2020,"everything is perfect. even the numbness due to special liquid on it doesn’t affect the pleasure, however for a normal person it won’t extend your timings. so if you are struggling with ejaculation delay, then this is the best thing ever, but if you are not already struggling, then it’s just a normal condome for you."
Bo,3.0 out of 5 stars,Nicht überzeugend,Reviewed in Germany on 17 September 2019,"Also so wirklich begeistern kann ich mich dafür nicht. Insgesamt ist die Wirkung zu stark. Klar, wenn man nix mehr merkt vorne, kann man auch länger... aber wenn man denn gar überhaupt nix mehr spürt, hat das Ganze doch irgendwie seinen Sinn verfehlt...Also für mich nix, zu viel Gel... vielleicht etwas weniger...?"
Jason ,1.0 out of 5 stars,Bin jetzt Vater,Reviewed in Germany on 29 March 2022,Hat nicht funktioniert
HonestOpinionsI0I,2.0 out of 5 stars,"Keine Kaufempfehlung, brennen auf der Haut",Reviewed in Germany on 23 August 2019,"- Lieferung + Verpackung (0,5/0,5 Sterne)Das Produkt kommt diskret verpackt in einem standard Amazonkarton an. Wer sich also hier Sorgen macht, den kann ich beruhigen.- Qualtität (1,5/3 Sterne)Wie von Durex erwartet gibt es Qualitativ am eigentlichen Produkt nichts auszusetzen. Kein Reißen, wenig bis garkein verrutschen. Das beworbene ""Extra"" des Gels hat allerdings keinen Unterschied gemacht, demnach der Abzug da es in diesem Punkt im Prinzip ganz normale Kondome sind.- Benutzerfreundlichkeit (0,5/1 Sterne)Die einzelnen Packungen lassen sich leicht aufreißen und abrollen, dafür gibt es den halben Stern. Abzug gibt es für das oben beschriebene Gel welches nicht nur nicht wirkt sondern einige Minuten danach leicht brennt auf der Haut.- Preis / Leistung (0/0,5 Sterne)Für im Prinzip ganz normale Kondome definitiv zu teuer.- Fazit (2,5/5 Sterne)Da ich von dieser Marke eigentlich mehr erwarte runde ich aufgrund des Gesamteindrucks auf 2 Sterne ab. Als Kondome gut geeignet aber dann doch lieber auf andere Varianten zurückgreifen die das gleiche tun, günstiger sind und nicht brennen!"
Kerstin M.,5.0 out of 5 stars,FLR,Reviewed in Germany on 29 October 2019,Perfekt für FLR. Sein Großer kann den Orgasmus länger zurückhalten und Frau ist glücklich;) Herrlich dünn und tolle Passform. Einfach genial!
Sunflower,5.0 out of 5 stars,Tolle Qualität,Reviewed in Germany on 22 March 2019,"Durex ist so gut wie Jedem ein Begriff. So oft ich schon diverse Kondome getestet habe, bin ich immer wieder bei Durex gelandet, weil mich die Qualität einfach überzeugt hat.Bei diesem Produkt handelt es sich um die Reihe „Performa“. In der Spitze sind diese mit einer stimulierenden Substanz versehen, so dass der Penis leicht betäubt wird und länger durchhält. Ob dem schlussendlich so ist, lässt sich nicht so einfach sagen, da die Dauer auch so immer stark variiert.Die Qualität ist, wie von Durex gewohnt, sehr hoch. Sowohl was die Materialqualität angeht, als auch die praktische Umsetzung.Positiv aufgefallen ist mir hier die besonders schick und edel designte Verpackung.Fazit:Durex kann mich abermals überzeugen, das liegt in erster Linie an der tollen Qualität und einem schönen S*x-Erlebnis. Ob die besondere Betäubung funktioniert...ich kann es nicht wirklich sagen. Trotzdem wiedereinmal ein gutes Produkt und daher eine Empfehlung."
P.B.,5.0 out of 5 stars,Tolle Gummis,Reviewed in Germany on 15 May 2019,"Die Gummis sind wie bei Durex üblich von guter Qualität. Sie sind recht dünnwandig, sodass das Gefühl gut erhalten bleibt. Die spezielle Beschichtung hilft tatsächlich, dass man(n) länger kann, da eine ganz leichte Betäubung den Höhepunkt verschiebt.Alle Gummis sind selbstverständlich einzeln und luftdicht angepackt.Insgesamt sichere Gummis mit nettem Gimmick."
Cubbie,5.0 out of 5 stars,Bewährt und gut,Reviewed in Germany on 18 March 2019,"Durex Kondome sind ein bewährtes und nicht ganz preiswertes Produkt, hier in einer ungewohnten Packungsgröße von 14 Stück (sonst doch eher 10 bzw im Dutzend erhältlich.) Zur Anwendung und Qualität nichts Negatives zu berichten, aber wie fast bei allen Kondomen aller Hersteller immer wieder mein Aufruf: Druckt bitte auf der Kondomumverpackung drauf, welche ""Sorte"" das ist. Performa Kondome sind mit einem leichten Betäubungsmittel versehen, ob es wirklich wie beworben eine Verlängerung des Aktes ermöglicht ist wohl auch zum Teil ""Glaubenssache"", aber grundsätzlich sind diese Kondome sehr empfehlenswert."
P. Losbichler,5.0 out of 5 stars,Prima,Reviewed in Germany on 1 October 2019,Wir sind mit der Qualität und Handhabung der Kondome sehr zufrieden.
Primegirl90,5.0 out of 5 stars,Spaß für Sie und Ihn!,Reviewed in Germany on 5 May 2019,"Kein penetranter Geruch, eine stabile Verarbeitung und ein sehr nahes Echtheitsgefühl.Zu Empfehlen!"
KundeL,1.0 out of 5 stars,Material trocken,Reviewed in Germany on 29 November 2021,Unbrauchbar…
Christian Möbius,1.0 out of 5 stars,Anästhesie der Extraklasse,Reviewed in Germany on 17 April 2021,"Längeres Durchhaltevermögen... das ich nicht lache... Für Betäubung vor der Amputation gut geeignet, für alles andere unbrauchbar... Von 100 auf 0 in unter 5 Sekunden, das ist Bestleistung. Wer also darauf steht nach der Benutzung 30 Minuten daran zu zweifeln ob Mann einen Penis besitzt ist damit gut aufgestellt.Ansonsten: Verpackung vielversprechend und schön gestaltet, Lob an den Designer..."
Hendrik Türke,1.0 out of 5 stars,nicht besonders robust,Reviewed in Germany on 15 April 2020,wenn sie halten dann wirkt das mittel was sich in dem kondom befindet sehr gut nur leider kommt wohl das latex auf lange zeit nicht gut damit klar und deswegen gingen bei mir schon ein paar kaputt .... und werde sie nicht ein 2. mal kaufen
nyze91,5.0 out of 5 stars,Super guter Effekt,Reviewed in Germany on 23 February 2022,"Durch Zufall sind wir auf diese Kondome aufmerksam geworden und wollten es unbedingt mal selber probieren. Da wir allgemein sehr zufrieden mit der Marke Durex sind und die Bewertungen durchweg positiv waren, wurde direkt alles bestellt.Zur Qualität:Das Kondom an sich sich ist wie immer top. Durch den 5%igen Anteil an benzocain, die wie eine Art Gelstückchen im Kondom enthalten sind, wird das Glied relativ schnell ""betäubt"". Und das funktioniert sehr sehr gut und hält lange genug an, um Spaß zu haben bzw. zu verlängern. Wie einige schon erwähnt haben, muss man beim Ansetzen nur aufpassen, dass diese Stückchen nicht vorab herausfallen. Ansonsten verteilt sich alles quasi wie von selbst.Fazit:Man glaubt es kaum, aber die Kondome halten, was sie versprechen. Es ist den Aufpreis definitiv wert. Wer Kondome und gleichzeitig eine betäubende Wirkung braucht, ist hier bestens bedient. Absolut empfehlenswert!"
Kd,5.0 out of 5 stars,Nicht für Leute ohne Kondition,Reviewed in Germany on 23 May 2022,"Man mag es kaum glauben aber sie funktionieren. Allerdings nicht zu empfehlen wenn man wenig Kondition hat, da es sich wirklich massiv verlängert"
Oliver Herrmann,5.0 out of 5 stars,Bin voll zufrieden,Reviewed in Germany on 10 April 2022,"Super Produkt, super Preis, super schnelle Lieferung.. alles Top, empfehlenswert!"
TreffNix,5.0 out of 5 stars,Hält was es verspricht,Reviewed in Germany on 3 January 2022,"So wie es sein soll, erfüllt seinen Zweck"
Mohammad bayat,5.0 out of 5 stars,Passt,Reviewed in Germany on 24 April 2022,Perfekt
Daniel,5.0 out of 5 stars,Läuft,Reviewed in Germany on 2 July 2022,Passt :)
Gorski,5.0 out of 5 stars,Super,Reviewed in Germany on 24 March 2022,Super
katja,5.0 out of 5 stars,Super Ding,Reviewed in Germany on 24 April 2022,Klasse die Dinger Immer wieder gerne
Wolfgang Z.,5.0 out of 5 stars,Hält was es verspricht,Reviewed in Germany on 30 April 2022,"Praktisch, gut und man hält länger durch beim Sex."
Sabine Hansen,5.0 out of 5 stars,Gut,Reviewed in Germany on 7 December 2021,Gute Qualität
Laui,5.0 out of 5 stars,Einwandfrei,Reviewed in Germany on 11 March 2022,Es gibt nichts besseres.
Patrick,5.0 out of 5 stars,Top,Reviewed in Germany on 4 April 2021,Was soll Mann sagen 😉
Wutzeli,5.0 out of 5 stars,Auf Produktbilder verzichten wir mal lieber ;-),Reviewed in Germany on 19 February 2020,"Ich finde Durexkondome generell gut. Diese helfen tasächlich, den Akt zu verlängern. Der Herr empfindet die betäubende Wirkung zuweilen als seltsam bzw. kann es vorkommen, dass er kommen möchte, es mit Hütchen aber nicht klappt, so dass er es für die ""letzte Phase"" lieber auszieht."
Holger,5.0 out of 5 stars,Super,Reviewed in Germany on 12 September 2022,Super
Katerina Zagala,5.0 out of 5 stars,top,Reviewed in Germany on 2 June 2021,Artikel wie beschrieben
Marvin Bohnensack,1.0 out of 5 stars,Schlecht ist,Reviewed in Germany on 5 August 2020,Mein teil wird bei Berührung schlaff wie eine nudel
Cabosikl,5.0 out of 5 stars,Top,Reviewed in Germany on 20 January 2021,Ich mag dieses Produkt. Nicht zu kurz wie manche andere Produkte. Der rest gibts sich von selbst. Spaß Faktor Nr 1
HolgerZ,5.0 out of 5 stars,nicht funktionieren,Reviewed in Germany on 22 November 2019,"ich war enttäuscht, eigentlich nicht arbeiten"
klaus koch,5.0 out of 5 stars,Top,Reviewed in Germany on 27 January 2022,Top
RE,1.0 out of 5 stars,Kein Unterschied merkbar,Reviewed in Germany on 2 August 2020,Keinen Effekt.
F. K.,5.0 out of 5 stars,Super,Reviewed in Germany on 2 December 2022,Jetzt kann der Spaß weiter gehen. Und das Gel betäubt echt gut.Kann ich nur empfehlen.
F.B.,5.0 out of 5 stars,Top.,Reviewed in Germany on 27 April 2021,Top.
Amazon Kunde,5.0 out of 5 stars,Ausprobieren! War sehr überrascht!,Reviewed in Germany on 24 June 2022,Kann ich nur empfehlen! Leider etwas zu teuer
Chingy,5.0 out of 5 stars,Top,Reviewed in Germany on 14 February 2021,Top
GeekyGirl,1.0 out of 5 stars,Schlechte Qualität,Reviewed in Germany on 14 July 2021,"Sie kamen spät an. Die Qualität ist extrem schlecht. 2 von 3 Kondomen sind während des Gebrauchs kaputt gegangen. Ich bin sehr unglücklich, dass ich sie nicht zurückgeben kann und ich sie nicht verwenden kann, da sie nicht sicher sind."
Martin Stanjo,5.0 out of 5 stars,Sehr gute Kondome,Reviewed in Germany on 11 March 2021,"Sehr zu empfehlen!!! Die Dicke der Condome ist super dünn, so das man das volle Erlebnis hat."
Leonardo Krüger,4.0 out of 5 stars,Product was good .,Reviewed in Germany on 11 October 2020,packaging was pretty good
sentürk,5.0 out of 5 stars,Kondome,Reviewed in Germany on 29 October 2019,Passt hervorragend echt toll hält was es verspricht.
Bukurije,5.0 out of 5 stars,Sehr gefühlsecht,Reviewed in Germany on 8 December 2022,Super gefühlsechtes und feuchtes Kondom sehr zu empfehlen.
andy,5.0 out of 5 stars,Top,Reviewed in Germany on 28 January 2022,Top
Lena,2.0 out of 5 stars,Müll,Reviewed in Germany on 6 February 2021,Bringt garnix. Man spürt garnix beim sex.
Phillipp Piel,5.0 out of 5 stars,Top,Reviewed in Germany on 2 July 2022,Sind echt gut.Durchhaltevermögen+
Ove D.,5.0 out of 5 stars,Top ✅,Reviewed in Germany on 22 April 2021,Top ✅
Tom0466,5.0 out of 5 stars,Longlive,Reviewed in Germany on 14 March 2021,"Wer länger was vom Liebesakt haben möchte, der sollte diese Condome nehmen."
Philip R,5.0 out of 5 stars,Effekt bei mir genau richtig,Reviewed in Germany on 12 July 2021,"Funktioniert wie beschrieben und gleicht die Aufregung und mögliche ""negative"" Folgen die damit einhergehen gut aus."
Christopher,5.0 out of 5 stars,Verzögert tatsächlich,Reviewed in Germany on 16 January 2023,Konnte meine Errektion um einige Minuten verzögern
Average Consumer SH,5.0 out of 5 stars,Good Product,Reviewed in Germany on 23 January 2023,Still waiting to use it for a while now ! Brought it in excitement for 2023....dry spell continues.
Ossi,1.0 out of 5 stars,Schlechter Preis,Reviewed in Germany on 30 July 2020,Meiner Meinung nach zu teuer. Da gibt es deutlich bessere
Raouf E.,5.0 out of 5 stars,Top,Reviewed in Germany on 19 November 2019,Top
TypU53,5.0 out of 5 stars,Wahnsinn,Reviewed in Germany on 16 May 2021,"Hatte den Vorgänger und der war echt Mist gegen diese hier. Verdoppelt locker die Zeit des Vergnügens. Klar, man(n) spürt weniger, aber das ist hier ja gewollt und bringt unterm Strich mehr Vergnügen."
Franki,5.0 out of 5 stars,"Etwas teurer als normale, der Effekt ist es wert!",Reviewed in Germany on 17 June 2021,"Hallo, bei diesem Kondom ist wirklich eine Verzögerung des Höhepunkt garantiert. Hatte diese schon mal probiert, und fand es echt toll das es kurz vor dem...... nochmal angenehm zurück gehalten wird. Ich persönlich kann diese nur empfehlen. 👍🏼 Sind zwar etwas teurer als normale, aber der Effekt ist es wert. 😉"
DD,3.0 out of 5 stars,Gute Qualität aber schlechtes Erlebnis,Reviewed in Germany on 4 January 2020,Nach dem ersten benutzen der Kondome hatte ich das Gefühl ich hätte meinen penis in meiner Freundin vergessen da ich ihn an meinem Körper nicht mehr gespürt habe.Das gel ist in meinen augen zu stark da man teils selbst nach langer Zeit nicht zum Abschluss kommt.Ich für meinen Teil werde diese Sorte nicht mehr verwenden aber muss dazu sagen das ich generell ein sehr zufriedener durex Kunde bin!
Nikolas,5.0 out of 5 stars,No kids! Product works!,Reviewed in Germany on 21 June 2021,I dont have kids yet.. thats why i am giving it 5 stars. I cant complain
Stephan K.,5.0 out of 5 stars,"Sollte verboten werden, meint meine Partnerin ;-)",Reviewed in Germany on 28 December 2021,"Man hat nach dem Anziehen, während dem Akt, erst nach einer halben Stunde wieder Gefühl in der Eichel und kann dementsprechend lange... ;-)"
Ganeman Sergej,5.0 out of 5 stars,Alles Tip Top,Reviewed in Germany on 14 January 2022,Gerne wieder
Steffen,5.0 out of 5 stars,Alles super,Reviewed in Germany on 15 October 2022,Alles super
Serg,5.0 out of 5 stars,Durex Performer,Reviewed in Germany on 14 October 2022,Artikel wie beschrieben Top. Blitz Versand. Dankeschön.
MP,5.0 out of 5 stars,Ja es klappt,Reviewed in Germany on 16 February 2020,Halten was sie versprechen
Franz-Jupp,5.0 out of 5 stars,Durex Performa Kondome,Reviewed in Germany on 20 January 2023,Alles prima.
Wagner,5.0 out of 5 stars,Zu empfehlen,Reviewed in Germany on 28 May 2020,Ich bestell sie immer und bin sehr zufrieden
